id,genre,class,num_class,popularity,duration,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,valence
1InCpEliLCkWHOBdXW7XSx,dance pop,pop,1,41,162398,0.637,0.69,0.0,0.124,-4.057,0.0,0.0405,129.857,0.457
3CTOc6QGsoaxwaPJYFxNsG,melodic rap,rap,0,57,133773,0.656,0.473,0.0,0.0662,-9.708,0.0,0.0659,130.056,0.378
0IJA9KP6rT55jrP1YpTdhx,melodic rap,rap,0,75,153626,0.732,0.636,0.0,0.241,-6.162,0.0,0.0497,138.061,0.358
2ab4xGVMBb14NpPrj4xDq5,dance pop,pop,1,68,211703,0.968,0.793,0.0,0.0814,-4.645,0.0,0.256,105.012,0.793
6sI8Q7TTJeA9exw6hxEqq3,dance pop,pop,1,73,172244,0.746,0.611,0.000922,0.133,-7.034,0.0,0.101,149.967,0.411
4jVBIpuOiMj1crqd8LoCrJ,rap,rap,0,80,202794,0.835,0.699,0.0,0.195,-5.405,0.0,0.277,154.981,0.547
170DNUSnQRp1tGpppF26pA,chicago rap,rap,0,78,177272,0.616,0.617,0.0,0.177,-8.431,1.0,0.52,175.929,0.476
1dLXLETYiZohIZWnse4ypG,dance pop,pop,1,74,174516,0.637,0.418,0.0,0.131,-7.137,1.0,0.301,84.295,0.0807
2kuYZZvjwzYWPA8L7ICFXn,melodic rap,rap,0,56,211396,0.775,0.492,0.000159,0.115,-8.769,0.0,0.109,99.933,0.65
1ylymaTbSjggG7TaItdRkI,cali rap,rap,0,65,151029,0.734,0.563,0.0,0.0981,-6.464,1.0,0.314,203.905,0.371
2YGHCHkWTbtCUTjL0LUXtx,emo rap,rap,0,73,177160,0.598,0.683,0.0,0.319,-6.588,0.0,0.054,135.982,0.122
6oaQuXiRKqQq9ITJBV1XmC,dance pop,pop,1,67,267117,0.498,0.764,0.0104,0.156,-8.096,1.0,0.0382,115.975,0.0557
5i7ThJfYLAzp2DyZuFpF6j,dance pop,pop,1,77,213671,0.58,0.908,4.84e-05,0.087,-5.303,1.0,0.0341,115.016,0.427
5KCbr5ndeby4y4ggthdiAb,canadian pop,pop,1,83,172692,0.333,0.637,1.8e-05,0.149,-4.904,0.0,0.0581,139.898,0.132
7iAgNZdotu40NwtoIWJHFe,k-pop,pop,1,72,161167,0.653,0.662,0.0,0.0626,-6.168,1.0,0.162,111.712,0.674
4Ws314Ylb27BVsvlZOy30C,k-pop,pop,1,80,194765,0.654,0.707,0.0,0.0873,-5.661,1.0,0.0664,127.97,0.448
1XnpzbOGptRwfJhZgLbmSr,k-pop,pop,1,79,201122,0.701,0.556,0.000122,0.106,-7.42,0.0,0.0414,152.045,0.333
4JUPEh2DVSXFGExu4Uxevz,k-pop,pop,1,76,177813,0.79,0.701,8.06e-05,0.0311,-4.81,1.0,0.365,159.972,0.91
7qq0EOPW4RRlqdvMBmdd73,k-pop,pop,1,73,163945,0.804,0.633,0.000119,0.102,-6.186,1.0,0.0612,115.002,0.67
3yv7994DWTEk3ihwy75YBQ,houston rap,rap,0,68,187940,0.933,0.757,0.0,0.135,-3.212,1.0,0.117,137.993,0.544
7iKDsPfLT0d5mu2htfMKBZ,k-pop,pop,1,74,171797,0.686,0.64,0.0,0.0801,-5.491,1.0,0.159,162.225,0.597
4SFknyjLcyTLJFPKD2m96o,k-pop,pop,1,83,182956,0.812,0.761,0.000135,0.0601,-5.222,1.0,0.0812,130.032,0.344
39kzWAiVPpycdMpr745oPj,k-pop,pop,1,70,231201,0.477,0.435,0.0,0.12,-6.497,1.0,0.0523,144.144,0.322
4TgxFMOn5yoESW6zCidCXL,nz pop,pop,1,81,184905,0.758,0.598,0.0,0.295,-5.695,0.0,0.0868,149.836,0.658
5sBplhIrmzA4kQGyIOpmDf,pop rap,pop,1,74,181495,0.832,0.549,0.0,0.11,-8.259,0.0,0.0602,140.045,0.384
463CkQjx2Zk1yXoBuierM9,dance pop,pop,1,91,203064,0.702,0.825,0.0,0.0674,-3.787,0.0,0.0601,102.977,0.915
6SL8U8TtdwOtGhbmGzsMfX,dance pop,pop,1,68,173467,0.78,0.684,0.0,0.105,-5.758,1.0,0.0636,149.916,0.732
2IY537C2ecmUMJ46bYQggp,la pop,pop,1,56,199506,0.607,0.655,0.0,0.114,-8.055,1.0,0.0341,136.028,0.255
5GzA5A7JD6ZIJSx8HC2PSR,cali rap,rap,0,60,160143,0.876,0.475,0.0,0.148,-9.117,1.0,0.334,107.952,0.22
08HPWLi0YmRUStJzkQ1ffh,pop,pop,1,78,205116,0.599,0.449,2.66e-05,0.107,-7.423,1.0,0.0529,158.0,0.143
5XqDJFVCyRTm5J7cIfRmR1,dance pop,pop,1,75,217801,0.499,0.612,4.99e-05,0.0993,-5.947,0.0,0.127,157.218,0.218
1BYZxKSf0aTxp8ZFoeyM3d,bedroom pop,pop,1,83,184153,0.566,0.366,0.181,0.155,-12.808,1.0,0.028,129.959,0.237
